Date,Return
1998-12-31,5.177
1999-12-31,23.344
2000-12-31,-12.904
2001-12-31,5.693
2002-12-31,-1.313
2003-12-31,33.552
2004-12-31,14.115
2005-12-31,5.27
2006-12-31,18.438
2007-12-31,22.481
2008-12-31,-46.888
2009-12-31,45.014
2010-12-31,21.803
2011-12-31,-6.766
2012-12-31,15.25
2013-12-31,24.14
2014-12-31,7.929
2015-12-31,-7.391
2016-12-31,17.113
2017-12-31,22.069
2018-12-31,-14.282
2019-12-31,22.848
2020-12-31,26.025
2021-12-31,25.703
2022-12-31,-9.954
2023-12-31,13.142
2024-12-31,0.666
