Date,Return
1998-12-31,5.397
1999-12-31,21.394
2000-12-31,9.519
2001-12-31,-7.603
2002-12-31,-24.204
2003-12-31,29.228
2004-12-31,17.162
2005-12-31,3.404
2006-12-31,13.397
2007-12-31,13.941
2008-12-31,-41.565
2009-12-31,25.272
2010-12-31,26.98
2011-12-31,2.624
2012-12-31,15.073
2013-12-31,34.895
2014-12-31,10.802
2015-12-31,-3.131
2016-12-31,19.319
2017-12-31,21.922
2018-12-31,-12.404
2019-12-31,26.752
2020-12-31,18.229
2021-12-31,20.359
2022-12-31,-3.351
2023-12-31,17.742
2024-12-31,17.021
